 row  golden      hw     gold(dec)       hw(dec)      rel%
 362    4581    4581     4128.0000     4128.0000    0.000%
 363    4586    4586     4288.0000     4288.0000    0.000%
 364    4584    4584     4224.0000     4224.0000    0.000%
 365    4585    4585     4256.0000     4256.0000    0.000%
 366    4580    4580     4096.0000     4096.0000    0.000%
 367    4577    4577     3952.0000     3952.0000    0.000%
 368    4586    4586     4288.0000     4288.0000    0.000%
 369    4583    4583     4192.0000     4192.0000    0.000%
 370    4588    4588     4352.0000     4352.0000    0.000%
 371    4579    4579     3984.0000     3984.0000    0.000%
 372    458D    458D     4512.0000     4512.0000    0.000%
 373    4583    4583     4192.0000     4192.0000    0.000%
 374    4583    4583     4192.0000     4192.0000    0.000%
 375    457D    457D     4048.0000     4048.0000    0.000%
 376    4588    4588     4352.0000     4352.0000    0.000%
 377    4567    4567     3696.0000     3696.0000    0.000%
 378    457A    457A     4000.0000     4000.0000    0.000%
 379    456C    456C     3776.0000     3776.0000    0.000%
 380    457D    457D     4048.0000     4048.0000    0.000%
 381    4589    4589     4384.0000     4384.0000    0.000%
 382    4578    4578     3968.0000     3968.0000    0.000%
 383    457F    457F     4080.0000     4080.0000    0.000%
 384    4580    4580     4096.0000     4096.0000    0.000%
 385    4580    4580     4096.0000     4096.0000    0.000%
 386    458A    458A     4416.0000     4416.0000    0.000%
 387    457C    457C     4032.0000     4032.0000    0.000%
 388    4570    4570     3840.0000     3840.0000    0.000%
 389    4580    4580     4096.0000     4096.0000    0.000%
 390    457F    457F     4080.0000     4080.0000    0.000%
 391    4588    4588     4352.0000     4352.0000    0.000%
 392    4581    4581     4128.0000     4128.0000    0.000%
 393    4583    4583     4192.0000     4192.0000    0.000%
 394    4586    4586     4288.0000     4288.0000    0.000%
 395    4585    4585     4256.0000     4256.0000    0.000%
 396    4583    4583     4192.0000     4192.0000    0.000%
 397    4585    4585     4256.0000     4256.0000    0.000%
 398    4587    4587     4320.0000     4320.0000    0.000%
 399    4574    4574     3904.0000     3904.0000    0.000%
 400    458A    458A     4416.0000     4416.0000    0.000%
 401    4584    4584     4224.0000     4224.0000    0.000%
 402    458B    458B     4448.0000     4448.0000    0.000%
 403    457F    457F     4080.0000     4080.0000    0.000%
 404    4585    4585     4256.0000     4256.0000    0.000%
 405    4583    4583     4192.0000     4192.0000    0.000%
 406    4585    4585     4256.0000     4256.0000    0.000%
 407    4586    4586     4288.0000     4288.0000    0.000%
 408    4582    4582     4160.0000     4160.0000    0.000%
 409    4578    4578     3968.0000     3968.0000    0.000%
 410    4584    4584     4224.0000     4224.0000    0.000%
 411    4584    4584     4224.0000     4224.0000    0.000%
 412    4581    4581     4128.0000     4128.0000    0.000%
 413    4578    4578     3968.0000     3968.0000    0.000%
 414    4579    4579     3984.0000     3984.0000    0.000%
 415    4586    4586     4288.0000     4288.0000    0.000%
 416    4586    4586     4288.0000     4288.0000    0.000%
 417    4587    4587     4320.0000     4320.0000    0.000%
 418    4587    4587     4320.0000     4320.0000    0.000%
 419    457E    457E     4064.0000     4064.0000    0.000%
